Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Self-Building Artificial Intelligence and Machine Learning to Empower Big Data Analytics in Smart Cities","Information Systems Frontiers","","","","10.1007/s10796-020-10056-x","Damminda AlahakoonRashmika NawaratneYan XuDaswin De SilvaUthayasankar SivarajahBhumika Gupta","2020","http://link.springer.com/article/10.1007/s10796-020-10056-x","Article"
"Data-informed inverse design by product usage information: a review, framework and outlook","Journal of Intelligent Manufacturing","","31","3","10.1007/s10845-019-01463-2","Liang HouRoger J. Jiao","2020","http://link.springer.com/article/10.1007/s10845-019-01463-2","Article"
"Refinements of Barndorff-Nielsen and Shephard Model: An Analysis of Crude Oil Price with Machine Learning","Annals of Data Science","","","","10.1007/s40745-020-00256-2","Indranil SenGuptaWilliam NganjeErik Hanson","2020","http://link.springer.com/article/10.1007/s40745-020-00256-2","Article"
"360 degree view of cross-domain opinion classification: a survey","Artificial Intelligence Review","","","","10.1007/s10462-020-09884-9","Rahul Kumar SinghManoj Kumar SachanR. B. Patel","2020","http://link.springer.com/article/10.1007/s10462-020-09884-9","Article"
"A multicriteria decision support tool for modelling bank credit ratings","Annals of Operations Research","","","","10.1007/s10479-020-03516-9","Chrysovalantis GaganisPanagiota PapadimitriMenelaos Tasiou","2020","http://link.springer.com/article/10.1007/s10479-020-03516-9","Article"
"Creating a road map for industry 4.0 by using an integrated fuzzy multicriteria decision-making methodology","Soft Computing","","","","10.1007/s00500-020-05041-0","İhsan KayaMelike ErdoğanAli KaraşanBetül Özkan","2020","http://link.springer.com/article/10.1007/s00500-020-05041-0","Article"
"A Review of Supervised Classification based on Contrast Patterns: Applications, Trends, and Challenges","Journal of Grid Computing","","","","10.1007/s10723-020-09526-y","Octavio Loyola-GonzálezMiguel Angel Medina-PérezKim-Kwang Raymond Choo","2020","http://link.springer.com/article/10.1007/s10723-020-09526-y","Article"
"Criteria evaluation and selection in non-native language MBA students admission based on machine learning methods","Journal of Ambient Intelligence and Humanized Computing","","11","9","10.1007/s12652-019-01490-0","Xiaojun WuJing Wu","2020","http://link.springer.com/article/10.1007/s12652-019-01490-0","Article"
"Decision Models and Advanced Analytics","Power and Gas Asset Management","","","","10.1007/978-3-030-36200-3_5","Miguel Moreira da Silva","2020","http://link.springer.com/chapter/10.1007/978-3-030-36200-3_5","Chapter"
"Interval neutrosophic hesitant fuzzy Einstein Choquet integral operator for multicriteria decision making","Artificial Intelligence Review","","53","3","10.1007/s10462-019-09730-7","Pankaj KakatiSurajit BorkotokeySaifur RahmanBijan Davvaz","2020","http://link.springer.com/article/10.1007/s10462-019-09730-7","Article"
"Reinforcement Learning","A Guided Tour of Artificial Intelligence Research","","","","10.1007/978-3-030-06164-7_12","Olivier BuffetOlivier PietquinPaul Weng","2020","http://link.springer.com/chapter/10.1007/978-3-030-06164-7_12","Chapter"
"Learner classification based on interaction data in E-learning environments: the ELECTRE TRI method","Education and Information Technologies","","","","10.1007/s10639-020-10358-2","Muhittin ŞahinAydın UlucanHalil Yurdugül","2020","http://link.springer.com/article/10.1007/s10639-020-10358-2","Article"
"Advancing the Vision for the Systems-Based Design Architecture Via a Cloud-Based Platform for Decision Support in the Design of Engineered Systems (CB-PDSIDES)","Architecting Robust Co-Design of Materials, Products, and Manufacturing Processes","","","","10.1007/978-3-030-45324-4_8","Anand Balu NellippallilJanet K. AllenB. P. GauthamAmarendra K. SinghFarrokh Mistree","2020","http://link.springer.com/chapter/10.1007/978-3-030-45324-4_8","Chapter"
