Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Machine Learning Applications","Springer Handbook of Computational Intelligence","","","","10.1007/978-3-662-43505-2_41","Piero P. Bonissone","2015","http://link.springer.com/chapter/10.1007/978-3-662-43505-2_41","Chapter"
"Intelligent Decision Support Systems","Biometric and Intelligent Decision Making Support","","","","10.1007/978-3-319-13659-2_2","Arturas Kaklauskas","2015","http://link.springer.com/chapter/10.1007/978-3-319-13659-2_2","Chapter"
"Interpretability of Fuzzy Systems: Current Research Trends and Prospects","Springer Handbook of Computational Intelligence","","","","10.1007/978-3-662-43505-2_14","Jose M. AlonsoCiro CastielloCorrado Mencar","2015","http://link.springer.com/chapter/10.1007/978-3-662-43505-2_14","Chapter"
"Multidimensional Risk Analysis","Multicriteria and Multiobjective Models for Risk, Reliability and Maintenance Decision Analysis","","","","10.1007/978-3-319-17969-8_4","Adiel Teixeira de AlmeidaCristiano Alexandre Virgínio CavalcanteMarcelo Hazin AlencarRodrigo José Pires FerreiraAdiel Teixeira de Almeida-FilhoThalles Vitelli Garcez","2015","http://link.springer.com/chapter/10.1007/978-3-319-17969-8_4","Chapter"
"Foundations of Rough Sets","Springer Handbook of Computational Intelligence","","","","10.1007/978-3-662-43505-2_21","Andrzej SkowronAndrzej JankowskiRoman W. Swiniarski","2015","http://link.springer.com/chapter/10.1007/978-3-662-43505-2_21","Chapter"
"Performance Evaluation of Students Using Multimodal Learning Systems","MultiMedia Modeling","","","","10.1007/978-3-319-14442-9_12","Subhasree BasuRoger ZimmermannKay L. O’HalloranSabine TanMarissa K.L.E.","2015","http://link.springer.com/chapter/10.1007/978-3-319-14442-9_12","Chapter"
"Feature Evaluation by Filter, Wrapper, and Embedded Approaches","Feature Selection for Data and Pattern Recognition","","","","10.1007/978-3-662-45620-0_3","Urszula Stańczyk","2015","http://link.springer.com/chapter/10.1007/978-3-662-45620-0_3","Chapter"
"Emerging Trends and Research Challenges","Revolutionizing Collaboration through e-Work, e-Business, and e-Service","","","","10.1007/978-3-662-45777-1_11","Shimon Y. NofJose CeroniWootae JeongMohsen Moghaddam","2015","http://link.springer.com/chapter/10.1007/978-3-662-45777-1_11","Chapter"
"Weighting of Features by Sequential Selection","Feature Selection for Data and Pattern Recognition","","","","10.1007/978-3-662-45620-0_5","Urszula Stańczyk","2015","http://link.springer.com/chapter/10.1007/978-3-662-45620-0_5","Chapter"
"Modeling and Optimization of Machining Problems","Springer Handbook of Computational Intelligence","","","","10.1007/978-3-662-43505-2_59","Dirk BiermannPetra KerstingTobias WagnerAndreas Zabel","2015","http://link.springer.com/chapter/10.1007/978-3-662-43505-2_59","Chapter"
"Internet capacity: optimizing autonomous system inbound traffic using specialist knowledge as support for decision-making","annals of telecommunications - annales des télécommunications","","70","7 - 8","10.1007/s12243-014-0453-4","Márcio A. de DeusPaulo H. P. CarvalhoJoão Paulo Leite","2015","http://link.springer.com/article/10.1007/s12243-014-0453-4","Article"
"Predictability of landfall location and surge height of tropical cyclones over North Indian Ocean (NIO)","Natural Hazards","","75","2","10.1007/s11069-014-1376-0","Sutapa ChaudhuriSayantika GoswamiAnirban MiddeyDebanjana DasS. Chowdhury","2015","http://link.springer.com/article/10.1007/s11069-014-1376-0","Article"
"Combinatorial clustering: Literature review, methods, examples","Journal of Communications Technology and Electronics","","60","12","10.1134/S1064226915120177","M. Sh. Levin","2015","http://link.springer.com/article/10.1134/S1064226915120177","Article"
"Robust design and optimization of composite stiffened panels in post-buckling","Structural and Multidisciplinary Optimization","","51","2","10.1007/s00158-014-1136-5","Omar BacarrezaM. H. AliabadiAlfonso Apicella","2015","http://link.springer.com/article/10.1007/s00158-014-1136-5","Article"
"A Review of Extant M&S Literature Through Journal Profiling and Co-citation Analysis","Concepts and Methodologies for Modeling and Simulation","","","","10.1007/978-3-319-15096-3_15","Navonil MustafeeKorina KatsaliakiPaul Fishwick","2015","http://link.springer.com/chapter/10.1007/978-3-319-15096-3_15","Chapter"
"Supporting the MCDA Process with the diviz workbench","Evaluation and Decision Models with Multiple Criteria","","","","10.1007/978-3-662-46816-6_21","Sébastien BigaretPatrick Meyer","2015","http://link.springer.com/chapter/10.1007/978-3-662-46816-6_21","Chapter"
"Examples of the Implementation of Fuzzy Models in Tourism in the South Moravian Region","Geoinformatics for Intelligent Transportation","","","","10.1007/978-3-319-11463-7_12","Pavel Kolisko","2015","http://link.springer.com/chapter/10.1007/978-3-319-11463-7_12","Chapter"
"Integrating OWA and data mining for analyzing customers churn in E-commerce","Journal of Systems Science and Complexity","","28","2","10.1007/s11424-015-3268-0","Jie CaoXiaobing YuZhifei Zhang","2015","http://link.springer.com/article/10.1007/s11424-015-3268-0","Article"
"The Cost of a Nuclear-Fuel Repository: A Criterion Valuation by Means of Fuzzy Logic","Evaluation and Decision Models with Multiple Criteria","","","","10.1007/978-3-662-46816-6_11","Pierre Louis KunschMathieu Vander Straeten","2015","http://link.springer.com/chapter/10.1007/978-3-662-46816-6_11","Chapter"
"Introduction","Evaluation and Decision Models with Multiple Criteria","","","","10.1007/978-3-662-46816-6_1","Raymond BisdorffLuis C. DiasPatrick MeyerVincent MousseauMarc Pirlot","2015","http://link.springer.com/chapter/10.1007/978-3-662-46816-6_1","Chapter"
"Identification and assigning weight of indicator influencing performance of municipal solid waste management using AHP","KSCE Journal of Civil Engineering","","19","1","10.1007/s12205-014-2356-3","Harshul ParekhKunwar YadavSanjay YadavNavinchandra Shah","2015","http://link.springer.com/article/10.1007/s12205-014-2356-3","Article"
"A Collaborative Multi-Criteria Spatial Decision Support System for Multifunctional Landscape Evaluation","Computational Science and Its Applications -- ICCSA 2015","","","","10.1007/978-3-319-21470-2_57","Raffaele AttardiMaria CerretaGiuliano Poli","2015","http://link.springer.com/chapter/10.1007/978-3-319-21470-2_57","Chapter"
"The Use of Fuzzy Relations in the Assessment of Information Resources Producers’ Performance","Intelligent Systems'2014","","","","10.1007/978-3-319-11310-4_25","Marek GagolewskiJan Lasek","2015","http://link.springer.com/chapter/10.1007/978-3-319-11310-4_25","Chapter"
"Designing a Report Recommendation Assistant: A First Design Cycle","New Horizons in Design Science: Broadening the Research Agenda","","","","10.1007/978-3-319-18714-3_6","Martin KretzerMaximilian KleinedlerChristian TheilemannAlexander Mädche","2015","http://link.springer.com/chapter/10.1007/978-3-319-18714-3_6","Chapter"
"The Next Generation of Knowledge Management: Mapping-Based Assessment Models","Advances in Knowledge Management","","","","10.1007/978-3-319-09501-1_9","Giovanni SchiumaDaniela Carlucci","2015","http://link.springer.com/chapter/10.1007/978-3-319-09501-1_9","Chapter"
"Impact of traditional and international logistic policies in supply chain performance","The International Journal of Advanced Manufacturing Technology","","76","5 - 8","10.1007/s00170-014-6308-3","Liliana Avelar-SosaJorge Luis García-AlcarazOsslan Osiris Vergara-VillegasAidé Aracely Maldonado-MacíasGiner Alor-Hernández","2015","http://link.springer.com/article/10.1007/s00170-014-6308-3","Article"
"Ballast Water Management Decision Support System","Global Maritime Transport and Ballast Water Management","","","","10.1007/978-94-017-9367-4_9","Matej DavidStephan Gollasch","2015","http://link.springer.com/chapter/10.1007/978-94-017-9367-4_9","Chapter"
"Decision Structuring Dialogue","EURO Journal on Decision Processes","","3","1 - 2","10.1007/s40070-014-0028-7","Sebastian SlotteRaimo P. Hämäläinen","2015","http://link.springer.com/article/10.1007/s40070-014-0028-7","Article"
"Staff Recruitment Process and Methods: The Case of the Mobile Telephony Industry in Greece","Creativity in Intelligent Technologies and Data Science","","","","10.1007/978-3-319-23766-4_24","","2015","http://link.springer.com/chapter/10.1007/978-3-319-23766-4_24","Chapter"
"The Origin of Fuzzy Extensions","Springer Handbook of Computational Intelligence","","","","10.1007/978-3-662-43505-2_6","Humberto BustinceEdurne BarrenecheaJavier FernándezMiguel PagolaJavier Montero","2015","http://link.springer.com/chapter/10.1007/978-3-662-43505-2_6","Chapter"
"An application of AHP in the development process of a supply chain reference model focusing on demand variability","Operational Research","","15","3","10.1007/s12351-014-0163-8","Stavros T. PonisSotiris P. GayialisIlias P. TatsiopoulosNikolaos A. PanayiotouDimitrios-Robert I. StamatiouAthanasia C. Ntalla","2015","http://link.springer.com/article/10.1007/s12351-014-0163-8","Article"
"An explication of uncertain evidence in Bayesian networks: likelihood evidence and probabilistic evidence","Applied Intelligence","","43","4","10.1007/s10489-015-0678-6","Ali Ben MradVéronique DelcroixSylvain PiechowiakPhilip LeicesterMohamed Abid","2015","http://link.springer.com/article/10.1007/s10489-015-0678-6","Article"
"InterCriteria Analysis of Parameters Relations in Fermentation Processes Models","Computational Collective Intelligence","","","","10.1007/978-3-319-24306-1_17","Olympia RoevaPeter VassilevMaria AngelovaTania Pencheva","2015","http://link.springer.com/chapter/10.1007/978-3-319-24306-1_17","Chapter"
"An Application of AHP on Transhipment Port Selection: A Global Perspective","Port Management","","","","10.1057/9781137475770_15","Tai-Cherng LirnHelen A. ThanopoulouMalcolm J. BeynonAnthony K. C. Beresford","2015","http://link.springer.com/chapter/10.1057/9781137475770_15","Chapter"
