Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multi Criteria Decision Making in Financial Risk Management with a Multi-objective Genetic Algorithm","Computational Economics","","52","2","10.1007/s10614-017-9683-7","Sujatha SrinivasanT. Kamalakannan","2018","http://link.springer.com/article/10.1007/s10614-017-9683-7","Article"
"An integrated data-mining and multi-criteria decision-making approach for hazard-based object ranking with a focus on landslides and floods","Environmental Earth Sciences","","77","16","10.1007/s12665-018-7762-2","Ghasem MirzaeiAdel SoltaniMilad SoltaniMorad Darabi","2018","http://link.springer.com/article/10.1007/s12665-018-7762-2","Article"
"A Survey of Data Mining and Deep Learning in Bioinformatics","Journal of Medical Systems","","42","8","10.1007/s10916-018-1003-9","Kun LanDan-tong WangSimon FongLian-sheng LiuKelvin K. L. WongNilanjan Dey","2018","http://link.springer.com/article/10.1007/s10916-018-1003-9","Article"
"Extending the multi-criteria decision making method DEX with numeric attributes, value distributions and relational models","Central European Journal of Operations Research","","26","1","10.1007/s10100-017-0468-9","Nejc TrdinMarko Bohanec","2018","http://link.springer.com/article/10.1007/s10100-017-0468-9","Article"
"Selecting Display Products for Furniture Stores Using Fuzzy Multi-criteria Decision Making Techniques","Engineering Applications of Neural Networks","","","","10.1007/978-3-319-98204-5_15","Özer Uygunİlker GüvenFuat ŞimşirMehmet Emin Aydin","2018","http://link.springer.com/chapter/10.1007/978-3-319-98204-5_15","Chapter"
"Big Data Analytics for Supply Chain Management","Innovations in Smart Cities and Applications","","","","10.1007/978-3-319-74500-8_87","Mariam MoufaddalAsmaa BenghabritImane Bouhaddou","2018","http://link.springer.com/chapter/10.1007/978-3-319-74500-8_87","Chapter"
"Solid waste collection system selection for smart cities based on a type-2 fuzzy multi-criteria decision technique","Soft Computing","","22","15","10.1007/s00500-018-3232-8","Murside TopalogluFerhat YarkinTolga Kaya","2018","http://link.springer.com/article/10.1007/s00500-018-3232-8","Article"
"Multi-criteria decision-making based on generalized prioritized aggregation operators under simplified neutrosophic uncertain linguistic environment","International Journal of Machine Learning and Cybernetics","","9","3","10.1007/s13042-016-0552-9","Zhang-peng TianJing WangHong-yu ZhangJian-qiang Wang","2018","http://link.springer.com/article/10.1007/s13042-016-0552-9","Article"
"A linguistic intuitionistic multi-criteria decision-making method based on the Frank Heronian mean operator and its application in evaluating coal mine safety","International Journal of Machine Learning and Cybernetics","","9","6","10.1007/s13042-016-0630-z","Hong-gang PengJian-qiang WangPeng-fei Cheng","2018","http://link.springer.com/article/10.1007/s13042-016-0630-z","Article"
"Security Strategies and Multi-Criteria Decision Making","Game Theory for Security and Risk Management","","","","10.1007/978-3-319-75268-6_3","Stefan Rass","2018","http://link.springer.com/chapter/10.1007/978-3-319-75268-6_3","Chapter"
"Challenges in the Design of Decision Support Systems for Port and Maritime Supply Chains","Exploring Intelligent Decision Support Systems","","","","10.1007/978-3-319-74002-7_3","Julio Mar-OrtizMaría D. GraciaNorberto Castillo-García","2018","http://link.springer.com/chapter/10.1007/978-3-319-74002-7_3","Chapter"
"Evaluating Decision Analytics from Mobile Big Data using Rough Set Based Ant Colony","Mobile Big Data","","","","10.1007/978-3-319-67925-9_9","Soumya BanerjeeYouakim Badr","2018","http://link.springer.com/chapter/10.1007/978-3-319-67925-9_9","Chapter"
"Classifying Big Data Analytic Approaches: A Generic Architecture","Software Technologies","","","","10.1007/978-3-319-93641-3_13","Yudith CardinaleSonia GuehisMarta Rukoz","2018","http://link.springer.com/chapter/10.1007/978-3-319-93641-3_13","Chapter"
"Machine learning based decision support systems (DSS) for heart disease diagnosis: a review","Artificial Intelligence Review","","50","4","10.1007/s10462-017-9552-8","Saima SafdarSaad ZafarNadeem ZafarNaurin Farooq Khan","2018","http://link.springer.com/article/10.1007/s10462-017-9552-8","Article"
"A Fuzzy Multi-criteria Decision Making Approach for Supplier Selection Under Fuzzy Environment","Proceedings of the Eleventh International Conference on Management Science and Engineering Management","","","","10.1007/978-3-319-59280-0_58","Adnan SarwarZiqiang ZengRichard AduAgyapongNguyen ThiHoaiThuongTalat Qadeer","2018","http://link.springer.com/chapter/10.1007/978-3-319-59280-0_58","Chapter"
"Security Monitoring and Analytics in the Context of HPC Processing Model","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-319-78024-5_36","Mikołaj DobskiGerard FrankowskiNorbert MeyerMaciej MiłostanMichał Pilc","2018","http://link.springer.com/chapter/10.1007/978-3-319-78024-5_36","Chapter"
"Proactive dynamic virtual-machine consolidation for energy conservation in cloud data centres","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0111-x","Salam IsmaeelRaed KarimAli Miri","2018","http://link.springer.com/article/10.1186/s13677-018-0111-x","Article"
"Towards Group Fuzzy Analytical Hierarchy Process","Information and Communication Technology for Development for Africa","","","","10.1007/978-3-319-95153-9_27","George W. MusumbaRuth D. Wario","2018","http://link.springer.com/chapter/10.1007/978-3-319-95153-9_27","Chapter"
"An axiomatization of the Choquet integral in the context of multiple criteria decision making without any commensurability assumption","Annals of Operations Research","","271","2","10.1007/s10479-018-3046-1","Christophe Labreuche","2018","http://link.springer.com/article/10.1007/s10479-018-3046-1","Article"
"Development of a Hybrid Harmony Search for Water Distribution System Design","KSCE Journal of Civil Engineering","","22","4","10.1007/s12205-017-1864-3","Donghwi JungDoosun KangJoong Hoon Kim","2018","http://link.springer.com/article/10.1007/s12205-017-1864-3","Article"
"Including cognitive aspects in multiple criteria decision analysis","Annals of Operations Research","","265","2","10.1007/s10479-016-2391-1","João CarneiroLuís ConceiçãoDiogo MartinhoGoreti MarreirosPaulo Novais","2018","http://link.springer.com/article/10.1007/s10479-016-2391-1","Article"
"Is Operational Research Attractive Enough at Higher Education Institutions in Croatia?","Advances in Operations Research Education","","","","10.1007/978-3-319-74104-8_3","Kristina ŠorićMarijana Zekić-Sušac","2018","http://link.springer.com/chapter/10.1007/978-3-319-74104-8_3","Chapter"
"Systematic Review of an Automated Multiclass Detection and Classification System for Acute Leukaemia in Terms of Evaluation and Benchmarking, Open Challenges, Issues and Methodological Aspects","Journal of Medical Systems","","42","11","10.1007/s10916-018-1064-9","M. A. AlsalemA. A. ZaidanB. B. ZaidanM. HashimO. S. AlbahriA. S. AlbahriAli HadiK. I. Mohammed","2018","http://link.springer.com/article/10.1007/s10916-018-1064-9","Article"
"Assessing Strategic Readiness for Healthcare Analytics: System and Design Theory Implications","Designing for a Digital and Globalized World","","","","10.1007/978-3-319-91800-6_8","Sathyanarayanan VenkatramanRangaraja P. SundarrajRavi Seethamraju","2018","http://link.springer.com/chapter/10.1007/978-3-319-91800-6_8","Chapter"
"Big Data Based Self-Optimization Networking in Next Generation Mobile Networks","Wireless Personal Communications","","101","3","10.1007/s11277-018-5774-6","Abbas Mirzaei SomarinMorteza BarariHouman Zarrabi","2018","http://link.springer.com/article/10.1007/s11277-018-5774-6","Article"
"A Comprehensive Survey on Healthcare Management","Operations Research Applications in Health Care Management","","","","10.1007/978-3-319-65455-3_2","Sezi Cevik OnarBasar OztaysiCengiz Kahraman","2018","http://link.springer.com/chapter/10.1007/978-3-319-65455-3_2","Chapter"
