Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multicriteria Decision Making","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_5","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_5","Chapter"
"Analytics and Spatial Information Technology: Retrospect and Prospects","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_7","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_7","Chapter"
"A Software Survey of Analytics and Spatial Information Technology","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_8","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_8","Chapter"
"A Learning Driven Model for ERP Software Selection Based on the Choquet Integral: Small and Medium Enterprises Context","Digital Enterprise and Information Systems","","","","10.1007/978-3-642-22603-8_33","Abdelilah KhaledMohammed Abdou Janati Idrissi","2011","http://link.springer.com/chapter/10.1007/978-3-642-22603-8_33","Chapter"
"Remote Sensing and Geographic Information Systems","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_6","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_6","Chapter"
"Model-Based Clustering of Inhomogeneous Paired Comparison Data","Similarity-Based Pattern Recognition","","","","10.1007/978-3-642-24471-1_15","Ludwig M. BusseJoachim M. Buhmann","2011","http://link.springer.com/chapter/10.1007/978-3-642-24471-1_15","Chapter"
"Selection of dispatching rules with fuzzy ANP approach","The International Journal of Advanced Manufacturing Technology","","52","5 - 8","10.1007/s00170-010-2739-7","Harun Resit Yazgan","2011","http://link.springer.com/article/10.1007/s00170-010-2739-7","Article"
"Pareto-optimality of oblique decision trees from evolutionary algorithms","Journal of Global Optimization","","51","2","10.1007/s10898-010-9614-9","Jose Maria PangilinanGerrit K. Janssens","2011","http://link.springer.com/article/10.1007/s10898-010-9614-9","Article"
"A Hybrid Intelligent System for Generic Decision for PID Controllers Design in Open-Loop","Hybrid Artificial Intelligent Systems","","","","10.1007/978-3-642-21222-2_43","José Luis Calvo-RolleEmilio CorchadoAmer LahamRamón Ferreiro García","2011","http://link.springer.com/chapter/10.1007/978-3-642-21222-2_43","Chapter"
"Bi-Random Multiple Objective Decision Making","Random-Like Multiple Objective Decision Making","","","","10.1007/978-3-642-18000-2_3","Prof. Dr. Dr. Jiuping XuAssis. Prof. Liming Yao","2011","http://link.springer.com/chapter/10.1007/978-3-642-18000-2_3","Chapter"
"Strategic Plan for Decision Making: Its Constituent Elements","A Strategy for Using Multicriteria Analysis in Decision-Making","","","","10.1007/978-94-007-1512-7_1","Nolberto Munier","2011","http://link.springer.com/chapter/10.1007/978-94-007-1512-7_1","Chapter"
"Formative evaluation of electricity distribution utilities using data envelopment analysis","Journal of the Operational Research Society","","62","7","10.1057/jors.2010.66","S P SantosC A F AmadoJ R Rosado","2011","http://link.springer.com/article/10.1057/jors.2010.66","Article"
"Optimal dynamic portfolio selection for projects under a competence development model","OR Spectrum","","33","1","10.1007/s00291-009-0180-9","Walter J. Gutjahr","2011","http://link.springer.com/article/10.1007/s00291-009-0180-9","Article"
"A line search approach for high dimensional function optimization","Telecommunication Systems","","46","3","10.1007/s11235-010-9288-0","Crina GrosanAjith AbrahamAboul Ella Hassainen","2011","http://link.springer.com/article/10.1007/s11235-010-9288-0","Article"
"Interactive Multicriteria Methods in Portfolio Decision Analysis","Portfolio Decision Analysis","","","","10.1007/978-1-4419-9943-6_5","Nikolaos ArgyrisJosé Rui FigueiraAlec Morton","2011","http://link.springer.com/chapter/10.1007/978-1-4419-9943-6_5","Chapter"
"Author and Title Index","Journal of the Operational Research Society","","62","12","10.1057/jors.2011.121","","2011","http://link.springer.com/article/10.1057/jors.2011.121","Article"
"Stream engines meet wireless sensor networks: cost-based planning and processing of complex queries in AnduIN","Distributed and Parallel Databases","","29","1 - 2","10.1007/s10619-010-7071-6","Daniel KlanMarcel KarnstedtKatja HoseLiz Ribe-BaumannKai-Uwe Sattler","2011","http://link.springer.com/article/10.1007/s10619-010-7071-6","Article"
"Papermaking fibre-suspension flow simulations at multiple scales","Journal of Engineering Mathematics","","71","1","10.1007/s10665-010-9433-5","J. HämäläinenS. B. LindströmT. HämäläinenH. Niskanen","2011","http://link.springer.com/article/10.1007/s10665-010-9433-5","Article"
"Conceptual Knowledge Processing: Theory and Practice","Knowledge Processing and Data Analysis","","","","10.1007/978-3-642-22140-8_1","Rudolf Wille","2011","http://link.springer.com/chapter/10.1007/978-3-642-22140-8_1","Chapter"
"Innovative and Responsible Governance of Nanotechnology for Societal Development","Nanotechnology Research Directions for Societal Needs in 2020","","","","10.1007/978-94-007-1168-6_14","Mihail C. RocoBarbara HarthornDavid GustonPhilip Shapira","2011","http://link.springer.com/chapter/10.1007/978-94-007-1168-6_14","Chapter"
"Constructive heuristics for the canister filling problem","Central European Journal of Operations Research","","19","3","10.1007/s10100-010-0164-5","Gašper ŽerovnikJanez Žerovnik","2011","http://link.springer.com/article/10.1007/s10100-010-0164-5","Article"
"A Proposal of Toolkit for GDSS Facilitators","Group Decision and Negotiation","","20","1","10.1007/s10726-010-9204-8","A. AdlaP. ZarateJ.-L. Soubie","2011","http://link.springer.com/article/10.1007/s10726-010-9204-8","Article"
"A Comparison of Group Model Building and Strategic Options Development and Analysis","Group Decision and Negotiation","","20","6","10.1007/s10726-010-9207-5","Etienne RouwetteIngrid BastingsHans Blokker","2011","http://link.springer.com/article/10.1007/s10726-010-9207-5","Article"
