Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A multi-objective decision-making process of supplier selection and order allocation for multi-period scheduling in an electronic market","The International Journal of Advanced Manufacturing Technology","","52","9 - 12","10.1007/s00170-010-2800-6","Hamed FazlollahtabarIraj MahdaviMinoo Talebi AshooriSomayeh KavianiNezam Mahdavi-Amiri","2011","http://link.springer.com/article/10.1007/s00170-010-2800-6","Article"
"MULTICUBE: Multi-Objective Design Space Exploration of Multi-Core Architectures","VLSI 2010 Annual Symposium","","","","10.1007/978-94-007-1488-5_4","Cristina SilvanoWilliam FornaciariGianluca PalermoVittorio ZaccariaFabrizio CastroMarcos MartinezSara BocchioRoberto ZafalonPrabhat AvasareGeert VanmeerbeeckChantal Ykman-CouvreurMaryse WoutersCarlos KavkaLuka OnestiAlessandro TurcoUmberto Bondi","2011","http://link.springer.com/chapter/10.1007/978-94-007-1488-5_4","Chapter"
"Bi-Random Multiple Objective Decision Making","Random-Like Multiple Objective Decision Making","","","","10.1007/978-3-642-18000-2_3","Prof. Dr. Dr. Jiuping XuAssis. Prof. Liming Yao","2011","http://link.springer.com/chapter/10.1007/978-3-642-18000-2_3","Chapter"
"A Software Survey of Analytics and Spatial Information Technology","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_8","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_8","Chapter"
"Multi-criteria Decision Analysis: A Strategic Planning Tool for Water Loss Management","Water Resources Management","","25","14","10.1007/s11269-011-9896-9","Harrison E. MutikangaSaroj K. SharmaKalanithy Vairavamoorthy","2011","http://link.springer.com/article/10.1007/s11269-011-9896-9","Article"
"Integrating Evidence and Individual Preferences Using a Web-Based Multi-Criteria Decision Analytic Tool","The Patient: Patient-Centered Outcomes Research","","4","3","10.2165/11587070-000000000-00000","Dr Michelle CunichGlenn SalkeldJack DowieJoan HendersonClare BayramHelena BrittKirsten Howard","2011","http://link.springer.com/article/10.2165/11587070-000000000-00000","Article"
"Bifuzzy Multiple Objective Decision Making","Fuzzy-Like Multiple Objective Decision Making","","","","10.1007/978-3-642-16895-6_4","Jiuping XuXiaoyang Zhou","2011","http://link.springer.com/chapter/10.1007/978-3-642-16895-6_4","Chapter"
"Fuzzy Multiple Objective Decision Making","Fuzzy-Like Multiple Objective Decision Making","","","","10.1007/978-3-642-16895-6_2","Jiuping XuXiaoyang Zhou","2011","http://link.springer.com/chapter/10.1007/978-3-642-16895-6_2","Chapter"
"Data Mining Techniques and Models","Data Mining","","","","10.1007/978-3-642-19721-5_5","Florin Gorunescu","2011","http://link.springer.com/chapter/10.1007/978-3-642-19721-5_5","Chapter"
"Analytics and Spatial Information Technology: Retrospect and Prospects","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_7","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_7","Chapter"
"Building a qualitative recruitment system via SVM with MCDM approach","Applied Intelligence","","35","1","10.1007/s10489-009-0204-9","Yung-Ming LiCheng-Yang LaiChien-Pang Kao","2011","http://link.springer.com/article/10.1007/s10489-009-0204-9","Article"
"Multicriteria Decision Making","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_5","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_5","Chapter"
"An efficient evolutionary multi-objective framework for MEMS design optimisation: validation, comparison and analysis","Memetic Computing","","3","3","10.1007/s12293-011-0067-6","Michael FarnsworthElhadj BenkhelifaAshutosh TiwariMeiling ZhuMansour Moniri","2011","http://link.springer.com/article/10.1007/s12293-011-0067-6","Article"
"Intelligent System Approaches for Vehicle Power Management","Vehicle Power Management","","","","10.1007/978-0-85729-736-5_7","Xi ZhangChris Mi","2011","http://link.springer.com/chapter/10.1007/978-0-85729-736-5_7","Chapter"
"A new manufacturing resource allocation method for supply chain optimization using extended genetic algorithm","The International Journal of Advanced Manufacturing Technology","","53","9 - 12","10.1007/s00170-010-2900-3","W. Y. ZhangShuai ZhangMing CaiJ. X. Huang","2011","http://link.springer.com/article/10.1007/s00170-010-2900-3","Article"
"A Learning Driven Model for ERP Software Selection Based on the Choquet Integral: Small and Medium Enterprises Context","Digital Enterprise and Information Systems","","","","10.1007/978-3-642-22603-8_33","Abdelilah KhaledMohammed Abdou Janati Idrissi","2011","http://link.springer.com/chapter/10.1007/978-3-642-22603-8_33","Chapter"
"Dwelling selection by applying fuzzy game theory","Archives of Civil and Mechanical Engineering","","11","3","10.1016/S1644-9665(12)60109-5","M. MedineckieneE. K. ZavadskasZ. Turskis","2011","http://link.springer.com/article/10.1016/S1644-9665%2812%2960109-5","Article"
"Facilitating Business Process Improvement through Personalized Recommendation","Business Information Systems","","","","10.1007/978-3-642-21863-7_12","Mukhammad Andri SetiawanShazia SadiqRyan Kirkman","2011","http://link.springer.com/chapter/10.1007/978-3-642-21863-7_12","Chapter"
"An overview on subgroup discovery: foundations and applications","Knowledge and Information Systems","","29","3","10.1007/s10115-010-0356-2","Franciso HerreraCristóbal José CarmonaPedro GonzálezMaría José del Jesus","2011","http://link.springer.com/article/10.1007/s10115-010-0356-2","Article"
"An intelligent multi-criteria optimization method for quick and market-oriented textile material design","Journal of Global Optimization","","51","2","10.1007/s10898-010-9606-9","Xiaoguang DengXianyi ZengPhilippe VromanLudovic Koehl","2011","http://link.springer.com/article/10.1007/s10898-010-9606-9","Article"
"Application of DRSA-ANN Classifier in Computational Stylistics","Foundations of Intelligent Systems","","","","10.1007/978-3-642-21916-0_73","Urszula Stańczyk","2011","http://link.springer.com/chapter/10.1007/978-3-642-21916-0_73","Chapter"
"Application of fuzzy topsis for ranking suppliers of supply chain in automobile manufacturing companies in Iran","Fuzzy Information and Engineering","","3","4","10.1007/s12543-011-0096-3","H. AghajaniM. Ahmadpour","2011","http://link.springer.com/article/10.1007/s12543-011-0096-3","Article"
"Developing the Data Knowledge Industry","Information Science & Technology in China: A Roadmap to 2050","","","","10.1007/978-3-642-19071-1_7","Guojie Li","2011","http://link.springer.com/chapter/10.1007/978-3-642-19071-1_7","Chapter"
"GIS enabled service site selection: Environmental analysis and beyond","Information Systems Frontiers","","13","3","10.1007/s10796-010-9284-7","Junjie WuJian ChenYili Ren","2011","http://link.springer.com/article/10.1007/s10796-010-9284-7","Article"
"Application of Cluster Analysis to Cellular Manufacturing","Data Mining","","","","10.1007/978-1-84996-338-1_9","Yong YinIkou KakuJiafu TangJianMing Zhu","2011","http://link.springer.com/chapter/10.1007/978-1-84996-338-1_9","Chapter"
"High-level modeling and exploration of a powerline communication network based on System-on-Chip","Multi-objective Design Space Exploration of Multiprocessor SoC Architectures","","","","10.1007/978-1-4419-8837-9_7","Marcos MartinezDavid FerruzHector PosadasEugenio Villar","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8837-9_7","Chapter"
"Mean-VaR Portfolio Selection Under Real Constraints","Computational Economics","","37","2","10.1007/s10614-009-9195-1","J. Samuel Baixauli-SolerEva Alfaro-CidMatilde O. Fernandez-Blanco","2011","http://link.springer.com/article/10.1007/s10614-009-9195-1","Article"
"Experiences and Lessons Learned on the Implementation of the Water Framework Directive in Selected European River Basins","The Ebro River Basin","","","","10.1007/698_2010_80","M. S. Díaz-CruzR. M. DarbraA. GinebredaP. D. HansenS. SabaterL. GalbiatiE. CapriC. ValeD. Barceló","2011","http://link.springer.com/chapter/10.1007/698_2010_80","Chapter"
"Job Allocation Strategies with User Run Time Estimates for Online Scheduling in Hierarchical Grids","Journal of Grid Computing","","9","1","10.1007/s10723-011-9179-y","Juan Manuel Ramírez-AlcarazAndrei TchernykhRamin YahyapourUwe SchwiegelshohnAriel Quezada-PinaJosé Luis González-GarcíaAdán Hirales-Carbajal","2011","http://link.springer.com/article/10.1007/s10723-011-9179-y","Article"
"Research on the group decision-making about emergency event based on network technology","Information Technology and Management","","12","2","10.1007/s10799-011-0087-4","Kefan XieGang ChenQian WuYang LiuPan Wang","2011","http://link.springer.com/article/10.1007/s10799-011-0087-4","Article"
"A Review: Approach of Fuzzy Models Applications in Logistics","Computer Recognition Systems 4","","","","10.1007/978-3-642-20320-6_73","Dragan SimićSvetlana Simić","2011","http://link.springer.com/chapter/10.1007/978-3-642-20320-6_73","Chapter"
"An evaluation and decision method for ICT architectures for cross-organizational business process coordination","Information Systems and e-Business Management","","9","1","10.1007/s10257-010-0141-5","Stephan RoserJörg P. MüllerBernhard Bauer","2011","http://link.springer.com/article/10.1007/s10257-010-0141-5","Article"
"Supplement","Forensic Science, Medicine, and Pathology","","7","1","10.1007/s12024-010-9197-2","James WallmanClaude RouxChris Lennard","2011","http://link.springer.com/article/10.1007/s12024-010-9197-2","Article"
"Variable-Fidelity Aerodynamic Shape Optimization","Computational Optimization, Methods and Algorithms","","","","10.1007/978-3-642-20859-1_9","Leifur LeifssonSlawomir Koziel","2011","http://link.springer.com/chapter/10.1007/978-3-642-20859-1_9","Chapter"
"Selection of dispatching rules with fuzzy ANP approach","The International Journal of Advanced Manufacturing Technology","","52","5 - 8","10.1007/s00170-010-2739-7","Harun Resit Yazgan","2011","http://link.springer.com/article/10.1007/s00170-010-2739-7","Article"
"The Intellectual Structure of Decision Support Systems Research (1991–2004)","Decision Support","","","","10.1007/978-1-4419-6181-5_3","Sean Eom","2011","http://link.springer.com/chapter/10.1007/978-1-4419-6181-5_3","Chapter"
"Optimal dynamic portfolio selection for projects under a competence development model","OR Spectrum","","33","1","10.1007/s00291-009-0180-9","Walter J. Gutjahr","2011","http://link.springer.com/article/10.1007/s00291-009-0180-9","Article"
"Continuous Auditing as a Foundation for Real Time Decision Support: Implementation Challenges and Successes","Supporting Real Time Decision-Making","","","","10.1007/978-1-4419-7406-8_12","Robert BaksaMurray Turoff","2011","http://link.springer.com/chapter/10.1007/978-1-4419-7406-8_12","Chapter"
"Decision Making in Protective Relays","Digital Signal Processing in Power System Protection and Control","","","","10.1007/978-0-85729-802-7_10","Waldemar RebizantJanusz SzafranAndrzej Wiszniewski","2011","http://link.springer.com/chapter/10.1007/978-0-85729-802-7_10","Chapter"
"Management science methodologies in environmental management and sustainability: discourses and applications","Journal of the Operational Research Society","","62","9","10.1057/jors.2010.110","A Paucar-CaceresA Espinosa","2011","http://link.springer.com/article/10.1057/jors.2010.110","Article"
"An Expert System Based on Analytical Hierarchy Process for Diabetes Risk Assessment (DIABRA)","Advances in Swarm Intelligence","","","","10.1007/978-3-642-21524-7_30","Mohammad Reza Amin-NaseriNajmeh Neshat","2011","http://link.springer.com/chapter/10.1007/978-3-642-21524-7_30","Chapter"
"Research on Appraisal of High-Tech Entrepreneurial Risk Based on Osculating Value Method","Modeling Risk Management in Sustainable Construction","","","","10.1007/978-3-642-15243-6_33","Yan-Rong WangQiao-Ling Xu","2011","http://link.springer.com/chapter/10.1007/978-3-642-15243-6_33","Chapter"
"Author and Title Index","Journal of the Operational Research Society","","62","12","10.1057/jors.2011.121","","2011","http://link.springer.com/article/10.1057/jors.2011.121","Article"
"Operator Behavior Modelling in a Submarine","Combinations of Intelligent Methods and Applications","","","","10.1007/978-3-642-19618-8_2","Isabelle ToulgoatPierre SiegelYves Lacroix","2011","http://link.springer.com/chapter/10.1007/978-3-642-19618-8_2","Chapter"
"Economic Methods of Analysis","Location Theory and Decision Analysis","","","","10.1007/978-3-642-15663-2_2","Prof. Dr. Yupo Chan","2011","http://link.springer.com/chapter/10.1007/978-3-642-15663-2_2","Chapter"
"Is traditional, open-source, or on-demand first choice? Developing an AHP-based framework for the comparison of different software models in office suites selection","European Journal of Information Systems","","20","5","10.1057/ejis.2011.14","Alexander Benlian","2011","http://link.springer.com/article/10.1057/ejis.2011.14","Article"
"Occupational Guidance through ELECTRE Method","Advances in Web-Based Learning - ICWL 2011","","","","10.1007/978-3-642-25813-8_15","Stefanos OugiaroglouIoannis Kazanidis","2011","http://link.springer.com/chapter/10.1007/978-3-642-25813-8_15","Chapter"
"A mathematical model and ant colony algorithm for multi-manned assembly line balancing problem","The International Journal of Advanced Manufacturing Technology","","53","1 - 4","10.1007/s00170-010-2832-y","Parviz FattahiAbdolreza RoshaniAbdolhassan Roshani","2011","http://link.springer.com/article/10.1007/s00170-010-2832-y","Article"
"Strategic Plan for Decision Making: Its Constituent Elements","A Strategy for Using Multicriteria Analysis in Decision-Making","","","","10.1007/978-94-007-1512-7_1","Nolberto Munier","2011","http://link.springer.com/chapter/10.1007/978-94-007-1512-7_1","Chapter"
"Climbing the Water Ladder – The New GIS Approach","Geospatial Techniques for Managing Environmental Resources","","","","10.1007/978-94-007-1858-6_5","Amos Kabo-bahKamila Lis","2011","http://link.springer.com/chapter/10.1007/978-94-007-1858-6_5","Chapter"
"Horses for courses: risk information and decision making in the regulation of nanomaterials","Journal of Nanoparticle Research","","13","4","10.1007/s11051-011-0234-1","Christian E. H. BeaudrieMilind Kandlikar","2011","http://link.springer.com/article/10.1007/s11051-011-0234-1","Article"
"The Evaluation Study on Knowledge Transfer Effect of Supply Chain Companies","Advances in Education and Management","","","","10.1007/978-3-642-23062-2_66","Ping KangWei Jiang","2011","http://link.springer.com/chapter/10.1007/978-3-642-23062-2_66","Chapter"
"Decision conferencing for science prioritisation in the UK public sector: a dual case study","Journal of the Operational Research Society","","62","1","10.1057/jors.2009.184","A MortonD BirdA JonesM White","2011","http://link.springer.com/article/10.1057/jors.2009.184","Article"
"Sustainability: characteristics and scientific roots","Environment, Development and Sustainability","","13","2","10.1007/s10668-010-9260-x","Nuno QuentalJúlia M. LourençoFernando Nunes da Silva","2011","http://link.springer.com/article/10.1007/s10668-010-9260-x","Article"
"Optimization Methods","Applied Data Analysis and Modeling for Energy Engineers and Scientists","","","","10.1007/978-1-4419-9613-8_7","T. Agami Reddy","2011","http://link.springer.com/chapter/10.1007/978-1-4419-9613-8_7","Chapter"
"Knowledge Operation Capability Evaluation Model and Strategic Orientation of Supply Chain: Exploratory Research Based on View of Ecology","Advanced Research on Electronic Commerce, Web Application, and Communication","","","","10.1007/978-3-642-20370-1_58","Wen-Yong ZhouZe-Qian Song","2011","http://link.springer.com/chapter/10.1007/978-3-642-20370-1_58","Chapter"
"Rule Authoring in JRules","Agile Business Rule Development","","","","10.1007/978-3-642-19041-4_11","Mr. Jérôme BoyerProf. Hafedh Mili","2011","http://link.springer.com/chapter/10.1007/978-3-642-19041-4_11","Chapter"
"Integrating Environmental, Sociopolitical, Economic, and Technological Dimensions for the Assessment of Climate Policy Instruments","The Economic, Social and Political Elements of Climate Change","","","","10.1007/978-3-642-14776-0_38","Stelios GrafakosAlexandros FlamosVlasis OikonomouDimitrios Zevgolis","2011","http://link.springer.com/chapter/10.1007/978-3-642-14776-0_38","Chapter"
"The session series on “Natural Hazards’ impact on urban areas and infrastructure”","Reviews in Environmental Science and Bio/Technology","","10","1","10.1007/s11157-011-9231-1","Maria Bostenaru Dan","2011","http://link.springer.com/article/10.1007/s11157-011-9231-1","Article"
"Design a new intelligence expert decision making using game theory and fuzzy AHP to risk management in design, construction, and operation of tunnel projects (case studies: Resalat tunnel)","The International Journal of Advanced Manufacturing Technology","","53","5 - 8","10.1007/s00170-010-2852-7","Alireza AliahmadiSeyed Jafar SadjadiMeisam Jafari-Eskandari","2011","http://link.springer.com/article/10.1007/s00170-010-2852-7","Article"
"State-of-the-Art Multi-Objective Optimisation of Manufacturing Processes Based on Thermo-Mechanical Simulations","Multi-objective Evolutionary Optimisation for Product Design and Manufacturing","","","","10.1007/978-0-85729-652-8_3","Cem Celal TutumJesper Hattel","2011","http://link.springer.com/chapter/10.1007/978-0-85729-652-8_3","Chapter"
"Prediction of Microscopic Remaining Oil Distribution Using Fuzzy Comprehensive Evaluation","Transport in Porous Media","","89","3","10.1007/s11242-011-9784-z","Jian HouSunkang ZhangYanhui ZhangRongrong WangFuquan Luo","2011","http://link.springer.com/article/10.1007/s11242-011-9784-z","Article"
"Application of Atmosphere-Environment Quality Assessment Based on Fuzzy Comprehensive Evaluation","Information Computing and Applications","","","","10.1007/978-3-642-27503-6_20","Shufei LinYongli ZhangYanwei Zhu","2011","http://link.springer.com/chapter/10.1007/978-3-642-27503-6_20","Chapter"
"BPM Governance: An Exploratory Study in Public Organizations","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-642-21759-3_4","André Felipe Lemos SantanaCarina Frota AlvesHigor Ricardo Monteiro SantosAdelnei de Lima Cavalcanti Felix","2011","http://link.springer.com/chapter/10.1007/978-3-642-21759-3_4","Chapter"
