Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Impact of the Prototype Selection on a Multicriteria Decision Aid Classification Algorithm","Innovations and Advances in Computer Sciences and Engineering","","","","10.1007/978-90-481-3658-2_66","Amaury BrasilPlácido R. PinheiroAndré L.V. Coelho","2010","http://link.springer.com/chapter/10.1007/978-90-481-3658-2_66","Chapter"
"Introduction","Data Engineering","","","","10.1007/978-1-4419-0176-7_1","Terry M. TalleyJohn R. TalburtYupo Chan","2010","http://link.springer.com/chapter/10.1007/978-1-4419-0176-7_1","Chapter"
"Decision Rule-Based Data Models Using TRS and NetTRS – Methods and Algorithms","Transactions on Rough Sets XI","","","","10.1007/978-3-642-11479-3_8","Marek Sikora","2010","http://link.springer.com/chapter/10.1007/978-3-642-11479-3_8","Chapter"
"Simulation–Optimization Modeling: A Survey and Potential Application in Reservoir Systems Operation","Water Resources Management","","24","6","10.1007/s11269-009-9488-0","Deepti RaniMaria Madalena Moreira","2010","http://link.springer.com/article/10.1007/s11269-009-9488-0","Article"
"Transdisciplinary Fundamentals","Emergence, Analysis and Evolution of Structures","","","","10.1007/978-3-642-00870-2_2","Prof.Dr. Klaus LucasDr. Peter Roosen","2010","http://link.springer.com/chapter/10.1007/978-3-642-00870-2_2","Chapter"
"Research on One-Dimensional Chaos Maps for Fuzzy Optimal Selection Neural Network","Advances in Neural Networks - ISNN 2010","","","","10.1007/978-3-642-13278-0_38","Tao DingHongfei XiaoJinbao Liu","2010","http://link.springer.com/chapter/10.1007/978-3-642-13278-0_38","Chapter"
"Fuzzy Cognitive Maps Applied to Computer Vision Tasks","Fuzzy Cognitive Maps","","","","10.1007/978-3-642-03220-2_11","Gonzalo PajaresMaría GuijarroP. Javier HerreraJosé J. RuzJesús M. de la Cruz","2010","http://link.springer.com/chapter/10.1007/978-3-642-03220-2_11","Chapter"
"Multicriteria, multi-user scheduling in grids with advance reservation","Journal of Scheduling","","13","5","10.1007/s10951-009-0142-8","Krzysztof KurowskiAriel OleksiakJan Weglarz","2010","http://link.springer.com/article/10.1007/s10951-009-0142-8","Article"
"Ant Feature Selection Using Fuzzy Decision Functions","Fuzzy Optimization","","","","10.1007/978-3-642-13935-2_16","Susana M. VieiraJoão M. C. SousaUzay Kaymak","2010","http://link.springer.com/chapter/10.1007/978-3-642-13935-2_16","Chapter"
"Decision Making in Multiagent Web Services Based on Soft Computing","Marketing Intelligent Systems Using Soft Computing","","","","10.1007/978-3-642-15606-9_22","Zhaohao SunMinhong WangDong Dong","2010","http://link.springer.com/chapter/10.1007/978-3-642-15606-9_22","Chapter"
"Compactness in Spatial Decision Support: A Literature Review","Computational Science and Its Applications – ICCSA 2010","","","","10.1007/978-3-642-12156-2_32","Pablo VanegasDirk CattrysseJos Van Orshoven","2010","http://link.springer.com/chapter/10.1007/978-3-642-12156-2_32","Chapter"
"Selection of dispatching rules in FMS: ANP model based on BOCR with choquet integral","The International Journal of Advanced Manufacturing Technology","","49","5 - 8","10.1007/s00170-009-2416-x","Harun Resit YazganSemra BoranKerim Goztepe","2010","http://link.springer.com/article/10.1007/s00170-009-2416-x","Article"
"A Fuzzy Logic Approach to Attribute Formalization: Analysis of Lobulation for Breast Cancer Diagnosis","Data Mining and Knowledge Discovery via Logic-Based Methods","","","","10.1007/978-1-4419-1630-3_16","Evangelos Triantaphyllou","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1630-3_16","Chapter"
"An Analysis of Rogue AV Campaigns","Recent Advances in Intrusion Detection","","","","10.1007/978-3-642-15512-3_23","Marco CovaCorrado LeitaOlivier ThonnardAngelos D. KeromytisMarc Dacier","2010","http://link.springer.com/chapter/10.1007/978-3-642-15512-3_23","Chapter"
"A multi-objective optimization evolutionary algorithm incorporating preference information based on fuzzy logic","Computational Optimization and Applications","","46","1","10.1007/s10589-008-9189-2","Xiaoning ShenYu GuoQingwei ChenWeili Hu","2010","http://link.springer.com/article/10.1007/s10589-008-9189-2","Article"
