Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Facilitated Group Decision Making in Hierarchical Contexts","Handbook of Group Decision and Negotiation","","","","10.1007/978-90-481-9097-3_20","Teppo HujalaMikko Kurttila","2010","http://link.springer.com/chapter/10.1007/978-90-481-9097-3_20","Chapter"
"Decision-making on prioritization of projects in higher education institutions using the analytic network process approach","Central European Journal of Operations Research","","18","3","10.1007/s10100-009-0113-3","Nina BegičevićBlaženka DivjakTihomir Hunjak","2010","http://link.springer.com/article/10.1007/s10100-009-0113-3","Article"
"Compactness in Spatial Decision Support: A Literature Review","Computational Science and Its Applications – ICCSA 2010","","","","10.1007/978-3-642-12156-2_32","Pablo VanegasDirk CattrysseJos Van Orshoven","2010","http://link.springer.com/chapter/10.1007/978-3-642-12156-2_32","Chapter"
"Speeding-Up Expensive Evaluations in High-Level Synthesis Using Solution Modeling and Fitness Inheritance","Computational Intelligence in Expensive Optimization Problems","","","","10.1007/978-3-642-10701-6_26","Christian PilatoDaniele LoiaconoAntonino TumeoFabrizio FerrandiPier Luca LanziDonatella Sciuto","2010","http://link.springer.com/chapter/10.1007/978-3-642-10701-6_26","Chapter"
"An Autonomic Connection Management Mechanism on Mobile Terminals","Mobile Networks and Management","","","","10.1007/978-3-642-11817-3_4","Xiuli ZhengYuhong LiWeiqi HuXiubin Zhuang","2010","http://link.springer.com/chapter/10.1007/978-3-642-11817-3_4","Chapter"
"Fuzzy Location Selection Techniques","Production Engineering and Management under Fuzziness","","","","10.1007/978-3-642-12052-7_14","Cengiz KahramanSelcuk CebiFatih Tuysuz","2010","http://link.springer.com/chapter/10.1007/978-3-642-12052-7_14","Chapter"
"ImageCLEF 2009 Medical Image Annotation Task: PCTs for Hierarchical Multi-Label Classification","Multilingual Information Access Evaluation II. Multimedia Experiments","","","","10.1007/978-3-642-15751-6_28","Ivica DimitrovskiDragi KocevSuzana LoskovskaSašo Džeroski","2010","http://link.springer.com/chapter/10.1007/978-3-642-15751-6_28","Chapter"
"Selection of dispatching rules in FMS: ANP model based on BOCR with choquet integral","The International Journal of Advanced Manufacturing Technology","","49","5 - 8","10.1007/s00170-009-2416-x","Harun Resit YazganSemra BoranKerim Goztepe","2010","http://link.springer.com/article/10.1007/s00170-009-2416-x","Article"
"Early castability evaluation using analytical hierarchy process","The International Journal of Advanced Manufacturing Technology","","50","1 - 4","10.1007/s00170-010-2517-6","Durgesh JoshiBhallamudi Ravi","2010","http://link.springer.com/article/10.1007/s00170-010-2517-6","Article"
"Building a Decision Support System for Urban Design Based on the Creative City Concept","Handbook on Decision Making","","","","10.1007/978-3-642-13639-9_13","Lee-Chuan LinJunzo Watada","2010","http://link.springer.com/chapter/10.1007/978-3-642-13639-9_13","Chapter"
"A Visualization-based Intelligent Decision Support System Conceptual Model","Innovations and Advances in Computer Sciences and Engineering","","","","10.1007/978-90-481-3658-2_61","Dr. Hawaf AbdalhakimMohamed Abdelfattah","2010","http://link.springer.com/chapter/10.1007/978-90-481-3658-2_61","Chapter"
"The 2-Tuple Fuzzy Linguistic Representation Model","Linguistic Values Based Intelligent Information Processing: Theory, Methods, and Applications","","","","10.2991/978-94-91216-28-2_2","Zheng PeiDa RuanJun LiuYang Xu","2010","http://link.springer.com/chapter/10.2991/978-94-91216-28-2_2","Chapter"
"Modelling the Optimal Strategies of Fertiliser Application Using the Game-Theoretic Approach","Environmental Modeling & Assessment","","15","4","10.1007/s10666-009-9202-x","Sergei SchreiderPanlop ZeephongsekulMatthew Fernandes","2010","http://link.springer.com/article/10.1007/s10666-009-9202-x","Article"
"Synthesis of Modeling and Simulation Methods on Critical Infrastructure Interdependencies Research","Sustainable and Resilient Critical Infrastructure Systems","","","","10.1007/978-3-642-11405-2_1","Gesara SatumtiraLeonardo Dueñas-Osorio","2010","http://link.springer.com/chapter/10.1007/978-3-642-11405-2_1","Chapter"
"Scheduling and staffing multiple projects with a multi-skilled workforce","OR Spectrum","","32","2","10.1007/s00291-009-0169-4","Christian HeimerlRainer Kolisch","2010","http://link.springer.com/article/10.1007/s00291-009-0169-4","Article"
"Strategic Options Development and Analysis","Systems Approaches to Managing Change: A Practical Guide","","","","10.1007/978-1-84882-809-4_4","Fran AckermannColin Eden","2010","http://link.springer.com/chapter/10.1007/978-1-84882-809-4_4","Chapter"
"The construction of a comprehensive model for production strategy evaluation","Fuzzy Optimization and Decision Making","","9","2","10.1007/s10700-010-9077-y","Amy H. I. LeeChun-Yu LinShu-Ru WangYing-Mei Tu","2010","http://link.springer.com/article/10.1007/s10700-010-9077-y","Article"
"The Analytic Hierarchy and Analytic Network Measurement Processes: The Measurement of Intangibles","Handbook of Multicriteria Analysis","","","","10.1007/978-3-540-92828-7_4","Thomas L. SaatyMariya Sodenkamp","2010","http://link.springer.com/chapter/10.1007/978-3-540-92828-7_4","Chapter"
"A stochastic optimization approach for paper recycling reverse logistics network design under uncertainty","International Journal of Environmental Science & Technology","","7","4","10.1007/BF03326181","S. Soner Kara M.Sc.S. Onut","2010","http://link.springer.com/article/10.1007/BF03326181","Article"
"The ‘invisible science’: operational research for the British Armed Forces after 1945","Journal of the Operational Research Society","","61","1","10.1057/jors.2009.156","M W KirbyM T Godwin","2010","http://link.springer.com/article/10.1057/jors.2009.156","Article"
"Space efficiency in group recommendation","The VLDB Journal","","19","6","10.1007/s00778-010-0209-3","Senjuti Basu RoySihem Amer-YahiaAshish ChawlaGautam DasCong Yu","2010","http://link.springer.com/article/10.1007/s00778-010-0209-3","Article"
"Risk assessment based selection of rock TBM for adverse geological conditions using Fuzzy-AHP","Bulletin of Engineering Geology and the Environment","","69","4","10.1007/s10064-009-0260-8","Jafar Khademi HamidiKourosh ShahriarBahram RezaiJamal RostamiHadi Bejari","2010","http://link.springer.com/article/10.1007/s10064-009-0260-8","Article"
"Integrating Analytic Hierarchy Process and Genetic Algorithm for Aircraft Engine Maintenance Scheduling Problem","Proceedings of the 6th CIRP-Sponsored International Conference on Digital Enterprise Technology","","","","10.1007/978-3-642-10430-5_70","Jianrong WangTianbiao YuWanshan Wang","2010","http://link.springer.com/chapter/10.1007/978-3-642-10430-5_70","Chapter"
"E-Democracy and Network Externalities – The Case of Websites of Finnish Members of Parliament","Software Services for e-World","","","","10.1007/978-3-642-16283-1_15","Reima Suomi","2010","http://link.springer.com/chapter/10.1007/978-3-642-16283-1_15","Chapter"
"Agent Reasoning in Negotiation","Handbook of Group Decision and Negotiation","","","","10.1007/978-90-481-9097-3_26","Katia SycaraTinglong Dai","2010","http://link.springer.com/chapter/10.1007/978-90-481-9097-3_26","Chapter"
"Information Fusion with the Power Average Operator","Preferences and Decisions","","","","10.1007/978-3-642-15976-3_25","Ronald R. Yager","2010","http://link.springer.com/chapter/10.1007/978-3-642-15976-3_25","Chapter"
"Sediment and society: an approach for assessing management of contaminated sediments and stakeholder involvement in Norway","Journal of Soils and Sediments","","10","2","10.1007/s11368-009-0182-x","Amy Marie Patrin OenMagnus SparrevikDavid N. BartonUdaya Sekhar NagothuGerald Jan EllenGijs D. BreedveldJens SkeiAdriaan Slob","2010","http://link.springer.com/article/10.1007/s11368-009-0182-x","Article"
"An analytical study of complaining attitudes: With reference to the banking sector","Journal of Targeting, Measurement and Analysis for Marketing","","18","2","10.1057/jt.2010.2","Masood H SiddiquiShalini N Tripathi","2010","http://link.springer.com/article/10.1057/jt.2010.2","Article"
"Using Gis Tools to Support E_Participation – A Systematic Evaluation","Electronic Participation","","","","10.1007/978-3-642-15158-3_17","Euripidis LoukisAlexander XenakisRob PetersYannis Charalabidis","2010","http://link.springer.com/chapter/10.1007/978-3-642-15158-3_17","Chapter"
"Modelling Group Decision Making Problems in Changeable Conditions","Modeling Decisions for Artificial Intelligence","","","","10.1007/978-3-642-16292-3_7","Ignacio J. PérezSergio AlonsoFrancisco J. CabrerizoEnrique Herrera-Viedma","2010","http://link.springer.com/chapter/10.1007/978-3-642-16292-3_7","Chapter"
"Implementing Open Source Software Governance in Real Software Assurance Processes","Software Business","","","","10.1007/978-3-642-13633-7_9","Claudio A. ArdagnaMassimo BanziErnesto DamianiFulvio Frati","2010","http://link.springer.com/chapter/10.1007/978-3-642-13633-7_9","Chapter"
"Eigenvalues Driven Gaussian Selection in continuous speech recognition using HMMs with full covariance matrices","Applied Intelligence","","33","2","10.1007/s10489-008-0152-9","Marko JanevDarko PekarNiksa JakovljevicVlado Delic","2010","http://link.springer.com/article/10.1007/s10489-008-0152-9","Article"
"Optimal Design of a Common Rail Diesel Engine Piston","Computational Intelligence in Expensive Optimization Problems","","","","10.1007/978-3-642-10701-6_20","Teresa Donateo","2010","http://link.springer.com/chapter/10.1007/978-3-642-10701-6_20","Chapter"
"Stakeholder e-Participation in Local Planning: The Camargue Park Case","Next Generation Society. Technological and Legal Issues","","","","10.1007/978-3-642-11631-5_12","Nicolas DesquinaboNils FerrandJulie Marlier","2010","http://link.springer.com/chapter/10.1007/978-3-642-11631-5_12","Chapter"
