Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Adapting and refining in multi-criteria decision-making","Journal of the Operational Research Society","","61","5","10.1057/jors.2009.82","D B O'BrienC M Brugha","2010","http://link.springer.com/article/10.1057/jors.2009.82","Article"
"A Fuzzy Multi-Criteria Group Decision-Making Model Based on Weighted Borda Scoring Method for Watershed Ecological Risk Management: a Case Study of Three Gorges Reservoir Area of China","Water Resources Management","","24","10","10.1007/s11269-009-9544-9","Hao FanghuaChen Guanchun","2010","http://link.springer.com/article/10.1007/s11269-009-9544-9","Article"
"A fuzzy multi-criteria evaluation method for designing fashion oriented industrial products","Soft Computing","","14","12","10.1007/s00500-009-0496-z","X. ZengY. ZhuL. KoehlM. CamargoC. FonteixF. Delmotte","2010","http://link.springer.com/article/10.1007/s00500-009-0496-z","Article"
"Artificial Intelligence Application","Fault Location on Power Networks","","","","10.1007/978-1-84882-886-5_9","","2010","http://link.springer.com/chapter/10.1007/978-1-84882-886-5_9","Chapter"
"GRASP with Hybrid Path Relinking for Bi-Objective Winner Determination in Combinatorial Transportation Auctions","Business Research","","3","2","10.1007/BF03342722","Tobias BuerGiselher Pankratz","2010","http://link.springer.com/article/10.1007/BF03342722","Article"
"Computational Intelligence: Past, Today, and Future","Computational Intelligence in Complex Decision Systems","","","","10.2991/978-94-91216-29-9_1","Cengiz Kahramanİhsan KayaDidem Çinar","2010","http://link.springer.com/chapter/10.2991/978-94-91216-29-9_1","Chapter"
"Vulnerability Assessment","Drought Assessment","","","","10.1007/978-90-481-2500-5_8","R. Nagarajan","2010","http://link.springer.com/chapter/10.1007/978-90-481-2500-5_8","Chapter"
"An Analysis of Rogue AV Campaigns","Recent Advances in Intrusion Detection","","","","10.1007/978-3-642-15512-3_23","Marco CovaCorrado LeitaOlivier ThonnardAngelos D. KeromytisMarc Dacier","2010","http://link.springer.com/chapter/10.1007/978-3-642-15512-3_23","Chapter"
"Integration of simulation, design of experiment and goal programming for minimization of makespan and tardiness","The International Journal of Advanced Manufacturing Technology","","46","5 - 8","10.1007/s00170-009-2150-4","A. AzadehS. F. GhaderiM. DehghanbaghiA. Dabbaghi","2010","http://link.springer.com/article/10.1007/s00170-009-2150-4","Article"
"Multi-Objective Optimization Using Surrogates","Computational Intelligence in Optimization","","","","10.1007/978-3-642-12775-5_7","Ivan VoutchkovAndy Keane","2010","http://link.springer.com/chapter/10.1007/978-3-642-12775-5_7","Chapter"
"Beyond Neocorporatism? Transdisciplinary Case Studies as a Means for Collaborative Learning in Sustainable Development","Environmental Sociology","","","","10.1007/978-90-481-8730-0_12","Michael Stauffacher","2010","http://link.springer.com/chapter/10.1007/978-90-481-8730-0_12","Chapter"
"A Neurofuzzy Decision Framework for the Management of Water Distribution Networks","Water Resources Management","","24","1","10.1007/s11269-009-9441-2","Symeon ChristodoulouAlexandra Deligianni","2010","http://link.springer.com/article/10.1007/s11269-009-9441-2","Article"
"Fuzzy Cognitive Maps Applied to Computer Vision Tasks","Fuzzy Cognitive Maps","","","","10.1007/978-3-642-03220-2_11","Gonzalo PajaresMaría GuijarroP. Javier HerreraJosé J. RuzJesús M. de la Cruz","2010","http://link.springer.com/chapter/10.1007/978-3-642-03220-2_11","Chapter"
"A Web Based Assessment Tool via the Evidential Reasoning Approach","Computational Intelligence in Complex Decision Systems","","","","10.2991/978-94-91216-29-9_7","Dong-Ling Xu","2010","http://link.springer.com/chapter/10.2991/978-94-91216-29-9_7","Chapter"
"Integration of decision support systems to improve decision support performance","Knowledge and Information Systems","","22","3","10.1007/s10115-009-0192-4","Shaofeng LiuAlex H. B. DuffyRobert Ian WhitfieldIain M. Boyle","2010","http://link.springer.com/article/10.1007/s10115-009-0192-4","Article"
"The Style of Information Service by Robot Partners","Intelligent Robotics and Applications","","","","10.1007/978-3-642-16587-0_49","Aiko YaguchiNaoyuki Kubota","2010","http://link.springer.com/chapter/10.1007/978-3-642-16587-0_49","Chapter"
"Enhancing the Reliability and Security of Urban Water Infrastructures through Intelligent Monitoring, Assessment, and Optimization","Intelligent Infrastructures","","","","10.1007/978-90-481-3598-1_19","W. WuJ. Gao","2010","http://link.springer.com/chapter/10.1007/978-90-481-3598-1_19","Chapter"
"Grapheur: A Software Architecture for Reactive and Interactive Optimization","Learning and Intelligent Optimization","","","","10.1007/978-3-642-13800-3_26","Mauro BrunatoRoberto Battiti","2010","http://link.springer.com/chapter/10.1007/978-3-642-13800-3_26","Chapter"
"Simulation–Optimization Modeling: A Survey and Potential Application in Reservoir Systems Operation","Water Resources Management","","24","6","10.1007/s11269-009-9488-0","Deepti RaniMaria Madalena Moreira","2010","http://link.springer.com/article/10.1007/s11269-009-9488-0","Article"
"On Natural Based Optimization","Cognitive Computation","","2","2","10.1007/s12559-010-9039-2","Amin Nobakhti","2010","http://link.springer.com/article/10.1007/s12559-010-9039-2","Article"
"Predicting Gene Function using Predictive Clustering Trees","Inductive Databases and Constraint-Based Data Mining","","","","10.1007/978-1-4419-7738-0_15","Celine VensLeander SchietgatJan StruyfHendrik BlockeelDragi KocevSašo Džeroski","2010","http://link.springer.com/chapter/10.1007/978-1-4419-7738-0_15","Chapter"
"Explanation Systems","e-Democracy","","","","10.1007/978-90-481-9045-4_14","Jutta Geldermann","2010","http://link.springer.com/chapter/10.1007/978-90-481-9045-4_14","Chapter"
"Interaction and Personalization of Criteria in Recommender Systems","User Modeling, Adaptation, and Personalization","","","","10.1007/978-3-642-13470-8_18","Shawn R. WolfeYi Zhang","2010","http://link.springer.com/chapter/10.1007/978-3-642-13470-8_18","Chapter"
"Multiple criteria analysis of foundation instalment alternatives by applying Additive Ratio Assessment (ARAS) method","Archives of Civil and Mechanical Engineering","","10","3","10.1016/S1644-9665(12)60141-1","E. K. ZavadskasZ. TurskisT. Vilutiene","2010","http://link.springer.com/article/10.1016/S1644-9665%2812%2960141-1","Article"
"Hybrid Genetic Algorithm and Linear Programming Method for Least-Cost Design of Water Distribution Systems","Water Resources Management","","24","1","10.1007/s11269-009-9434-1","Milan Cisty","2010","http://link.springer.com/article/10.1007/s11269-009-9434-1","Article"
"Application of Analytic Network Process for the Design of Flexible Manufacturing Systems","Global Journal of Flexible Systems Management","","11","1 - 2","10.1007/BF03396577","Rambabu KodaliG. Anand","2010","http://link.springer.com/article/10.1007/BF03396577","Article"
"Maintenance optimization models and criteria","International Journal of System Assurance Engineering and Management","","1","3","10.1007/s13198-011-0045-x","Adriaan Van HorenbeekLiliane PintelonPeter Muchiri","2010","http://link.springer.com/article/10.1007/s13198-011-0045-x","Article"
"Planning for a Large Dam Project: The Case of Traveston Crossing Dam","Water Resources Management","","24","12","10.1007/s11269-010-9591-2","Saleh Ahmed Wasimi","2010","http://link.springer.com/article/10.1007/s11269-010-9591-2","Article"
